item,pc,npc,coord,categoria
"Lore: Black Hand/Black Hand Knowledge, Non-Sabbat",Coordinator Approval,Coordinator Approval,Sabbat,"Lore: Black Hand/Black Hand Knowledge, Non-Sabbat"
"Lore: Black Hand/Black Hand Knowledge 3+, Non-Black Hand Sabbat",Coordinator Approval,Coordinator Approval,Sabbat,"Lore: Black Hand/Black Hand Knowledge 3+, Non-Black Hand Sabbat"
Lore Tal'Mahe'Ra,Coordinator Approval,Coordinator Approval,Sabbat,Tal'Mahe'Ra
Non-Bahari with Lore: Bahari 4+,,,Approval,Non-Bahari with Lore: Bahari 4+
"Wraith 4+, Non-Wraiths",Coordinator Notify,Coordinator Notify,Wraith,"Wraith 4+, Non-Wraiths"
"Wraith 5+, Wraiths",Coordinator Notify,Coordinator Notify,Wraith,"Wraith 5+, Wraiths"
Lore of the Great / High Guilds 4+,Coordinator Approval,Coordinator Notify,Wraith,Lore of the Great / High Guilds 4+
Lore Artificers Guild,Coordinator Approval,Coordinator Notify,Wraith,Lore of the Great / High Guilds 4+
Lore Masquers Guild,Coordinator Approval,Coordinator Notify,Wraith,Lore of the Great / High Guilds 4+
Lore Pardoners Guild,Coordinator Approval,Coordinator Notify,Wraith,Lore of the Great / High Guilds 4+
Lore Usurers Guild,Coordinator Approval,Coordinator Notify,Wraith,Lore of the Great / High Guilds 4+
Lore of the Working Guilds 4+,Coordinator Approval,Coordinator Notify,Wraith,Lore of the Working Guilds 4+
Lore Chanteurs Guild,Coordinator Approval,Coordinator Notify,Wraith,Lore of the Working Guilds 4+
Lore Harbingers Guild,Coordinator Approval,Coordinator Notify,Wraith,Lore of the Working Guilds 4+
Lore Oracles Guild,Coordinator Approval,Coordinator Notify,Wraith,Lore of the Working Guilds 4+
Lore Sandmen Guild,Coordinator Approval,Coordinator Notify,Wraith,Lore of the Working Guilds 4+
Lore of the Criminal Guilds 3+,Coordinator Approval,Coordinator Notify,Wraith,Lore of the Criminal Guilds 3+
Lore Haunters Guild,Coordinator Approval,Coordinator Notify,Wraith,Lore of the Criminal Guilds 3+
Lore Monitors Guild,Coordinator Approval,Coordinator Notify,Wraith,Lore of the Criminal Guilds 3+
Lore Spooks Guild,Coordinator Approval,Coordinator Notify,Wraith,Lore of the Criminal Guilds 3+
Lore Proctors Guild,Coordinator Approval,Coordinator Notify,Wraith,Lore of the Criminal Guilds 3+
Lore Puppeteers Guild,Coordinator Approval,Coordinator Notify,Wraith,Lore of the Criminal Guilds 3+
Lore of the Forbidden Guilds 2+,Coordinator Approval,Coordinator Notify,Wraith,Lore of the Forbidden Guilds 2+
Lore Alchemists,Coordinator Approval,Coordinator Notify,Wraith,Lore of the Forbidden Guilds 2+
Lore Mnemoi Guild,Coordinator Approval,Coordinator Notify,Wraith,Lore of the Forbidden Guilds 2+
Lore Solicitors Guild,Coordinator Approval,Coordinator Notify,Wraith,Lore of the Forbidden Guilds 2+
Legion Lore for non-members 4+,Coordinator Approval,Coordinator Notify,Wraith,Legion Lore for non-members 4+
Lore Iron Legion,Coordinator Approval,Coordinator Notify,Wraith,Legion Lore for non-members 4+
Lore Skeletal Legion,Coordinator Approval,Coordinator Notify,Wraith,Legion Lore for non-members 4+
Lore Grim Legion,Coordinator Approval,Coordinator Notify,Wraith,Legion Lore for non-members 4+
Lore Penitent Legion,Coordinator Approval,Coordinator Notify,Wraith,Legion Lore for non-members 4+
Lore Emerald Legion,Coordinator Approval,Coordinator Notify,Wraith,Legion Lore for non-members 4+
Lore Silent Legion,Coordinator Approval,Coordinator Notify,Wraith,Legion Lore for non-members 4+
Lore Legion of Paupers,Coordinator Approval,Coordinator Notify,Wraith,Legion Lore for non-members 4+
Non-Assamites with Assamite or Assamite Antitribu Lore 4,Coordinator Notify,Coordinator Notify,Assamite,Non-Assamites with Assamite or Assamite Antitribu Lore 4
Non-Assamites with Assamite or Assamite Antitribue Lore 5+,Coordinator Approval,Coordinator Approval,Assamite,Non-Assamites with Assamite or Assamite Antitribue Lore 5+
Baali Lore each level,Coordinator Approval,Coordinator Approval,Baali (Demon),Baali Lore each level
"Baali lore 1-3 For Baali, Baali Apostates, and Angellis blood line",Coordinator Notify,Unregulated,Baali Lore each level - PC,"Baali lore 1-3 For Baali, Baali Apostates, and Angellis blood line"
Brujah Lore 5+,Coordinator Approval,Coordinator Approval,Brujah,Brujah Lore 5+
"Lore Brujah 4, Brujah",Coordinator Notify,Coordinator Notify,Brujah,"Brujah 4, Brujah"
"Lore Brujah 4, Non-Brujah",Coordinator Approval,Coordinator Approval,Brujah,"Brujah 4, Non-Brujah"
"Lore True Brujah, Non-True Bruah",Coordinator Approval,Coordinator Approval,Brujah,"True Brujah, Non-True Bruah"
"Lore True Brujah 4+, True Brujah",Coordinator Approval,Coordinator Approval,Brujah,"True Brujah 4+, True Brujah"
Lore Daitya 3+,Coordinator Approval,Coordinator Approval,Followers of Set,Daitya 3+
Lore Gangrel 5+,Coordinator Approval,Coordinator Approval,Gangrel,Gangrel 5+
"Lore Kiasyd 3+, Non-Kiasyd",Coordinator Approval,Coordinator Notify,Lasombra,"Kiasyd 3+, Non-Kiasyd"
"Lore Maeghar 3+, Non-Maeghar",Coordinator Approval,Coordinator Notify,Lasombra,"Maeghar 3+, Non-Maeghar"
Lore Jocastian,Coordinator Approval,Coordinator Approval,Malkavian,Jocastian
Lore Mnemosyne,Coordinator Approval,Coordinator Approval,Malkavian,Mnemosyne
"Lore Nosferatu 3+, Non-Nosferatu",Coordinator Approval,Coordinator Approval,Nosferatu,"Nosferatu 3+, Non-Nosferatu"
"Lore SchreckNET, Non-Nosferatu",Coordinator Approval,Coordinator Approval,Nosferatu,"SchreckNET, Non-Nosferatu"
"Lore Warrens, Non-Nosferatu",Coordinator Approval,Coordinator Approval,Nosferatu,"Warrens, Non-Nosferatu"
Lore Rom 4+,Coordinator Approval,Coordinator Approval,Ravnos,Rom 4+
Lore Ravnos 4+,Coordinator Approval,Coordinator Approval,Ravnos,Ravnos 4+
Descendant of Dracian Lore 4 and 5,Coordinator Approval,Coordinator Approval,Ravnos,Descendant of Dracian Lore 4 and 5
Salubri Lore 3+,Coordinator Approval,Coordinator Approval,Salubri,Salubri Lore 3+
"Lore Telyavelic 3+, Telyavelic Tremere",Coordinator Approval,Coordinator Approval,Tremere,"Telyavelic 3+, Telyavelic Tremere"
"Lore Talyavelic, Non-Telyavelic Tremere",Coordinator Approval,Coordinator Approval,Tremere,"Talyavelic, Non-Telyavelic Tremere"
"Lore Tremere 4+, Non-Tremere",Coordinator Approval,Coordinator Approval,Tremere,"Tremere 4+, Non-Tremere"
"Lore Ventrue 4+, Non-Ventrue",Coordinator Approval,Coordinator Approval,Ventrue,"Ventrue 4+, Non-Ventrue"
"Lore Ventrue 4, Ventrue",Coordinator Notify,Coordinator Notify,Ventrue,"Ventrue 4, Ventrue"
"Ventrue Lore 5+, Ventrue",Coordinator Approval,Coordinator Approval,Ventrue,"Ventrue Lore 5+, Ventrue"
Legend Rank,Disallowed,Coordinator Approval,Changing Breeds,Legend Rank
Any Changing Breed Abomination,Majority Vote,Coordinator Approval,"Changing Breeds, Relevant Vampire Clan Coordinator, Relevant Sect Coordinator",Any Changing Breed Abomination
Former Erebus Resident,Coordinator Approval,Coordinator Approval,Changing Breeds,Former Erebus Resident
Homid Red Talon,Disallowed,Disallowed,Changing Breeds,Homid Red Talon
Non-Metis Men/Male-Identifying Black Fury,Disallowed,Disallowed,Changing Breeds,Non-Metis Men/Male-Identifying Black Fury
Non-Ahadi Kucha Ekundu,Majority Vote,Coordinator Approval,Changing Breeds,Non-Ahadi Kucha Ekundu
Restricted Garou Camps,Coordinator Approval,Coordinator Approval,Changing Breeds,Restricted Garou Camps
Bringers of the Light,Coordinator Approval,Coordinator Approval,Changing Breeds,Restricted Garou Camps
Cyber Dogs 2.0,Coordinator Approval,Coordinator Approval,Changing Breeds,Restricted Garou Camps
Eaters of the Dead,Coordinator Approval,Coordinator Approval,Changing Breeds,Restricted Garou Camps
Ivory Priesthood,Coordinator Approval,Coordinator Approval,Changing Breeds,Restricted Garou Camps
Mother's Fundamentalists,Coordinator Approval,Coordinator Approval,Changing Breeds,Restricted Garou Camps
Path Dancers,Coordinator Approval,Coordinator Approval,Changing Breeds,Restricted Garou Camps
Sword of Heimdall,Coordinator Approval,Coordinator Approval,Changing Breeds,Restricted Garou Camps
Temple of Artemis,Coordinator Approval,Coordinator Approval,Changing Breeds,Restricted Garou Camps
The Dying Cubs,Coordinator Approval,Coordinator Approval,Changing Breeds,Restricted Garou Camps
The Glorious Fist of Wotan,Coordinator Approval,Coordinator Approval,Changing Breeds,Restricted Garou Camps
Winter Packs,Coordinator Approval,Coordinator Approval,Changing Breeds,Restricted Garou Camps
Skin Dancers,Coordinator Approval,Coordinator Approval,Changing Breeds,Skin Dancers
Croatan,Coordinator Approval,Coordinator Approval,Changing Breeds,Croatan
Ghouled Changing Breeds,Coordinator Approval,Coordinator Notify,Changing Breeds,Ghouled Changing Breeds
Ajaba,Coordinator Approval,Coordinator Approval,Changing Breeds,Ajaba
Bagheera,Coordinator Approval,Coordinator Approval,Changing Breeds,Bagheera
Bubasti,Majority Vote,Coordinator Approval,Changing Breeds,Bubasti
Makunguru,Coordinator Approval,Coordinator Approval: Coordinator: Changing Breeds,,Makunguru
Mokole-mbembe,Majority Vote,Coordinator Approval: Coordinator: Changing Breeds,,Mokole-mbembe
Simba,Coordinator Approval,Coordinator Approval,Changing Breeds,Simba
Swara,Coordinator Approval,Coordinator Approval,Changing Breeds,Swara
Ahadi Silent Striders,Coordinator Approval,Coordinator Approval: Coordinator: Changing Breeds,,Ahadi Silent Striders
Kucha Ekundu,Coordinator Approval,Coordinator Approval: Coordinator: Changing Breeds,,Kucha Ekundu
Former Ahadi Membership,Coordinator Approval,Coordinator Approval,Changing Breeds,Former Ahadi Membership
Out of Genre Ahadi Membership,Coordinator Approval,Coordinator Approval,Changing Breeds,Out of Genre Ahadi Membership
Ajaba,Coordinator Approval,Coordinator Approval,Changing Breeds,Ajaba
Bastet - Geographically Appropriate,Coordinator Notify,Coordinator Notify,Changing Breeds,Bastet - Geographically Appropriate
Bastet - Geographically Inappropriate,Coordinator Approval,Coordinator Approval,Changing Breeds,Bastet - Geographically Inappropriate
Gurahl,Coordinator Approval,Coordinator Notify,Changing Breeds,Gurahl
Extraordinary Changing Breeds,Majority Vote,Coordinator Approval,Changing Breeds,Extraordinary Changing Breeds
Kitsune,Majority Vote,Coordinator Approval,Changing Breeds,Extraordinary Changing Breeds
Mokole,Majority Vote,Coordinator Approval,Changing Breeds,Extraordinary Changing Breeds
Nagah,Majority Vote,Coordinator Approval,Changing Breeds,Extraordinary Changing Breeds
Nuwisha,Majority Vote,Coordinator Approval,Changing Breeds,Extraordinary Changing Breeds
Ananasi,Majority Vote,Coordinator Approval,Changing Breeds,Extraordinary Changing Breeds
Rokea,Majority Vote,Coordinator Approval,Changing Breeds,Extraordinary Changing Breeds
Near-Extinct and Extinct Garou Tribes,Majority Vote,Coordinator Approval,Changing Breeds,Near-Extinct and Extinct Garou Tribes
Bunyip,Majority Vote,Coordinator Approval,Changing Breeds,Near-Extinct and Extinct Garou Tribes
White Howlers (Including Throwbacks),Majority Vote,Coordinator Approval,Changing Breeds,Near-Extinct and Extinct Garou Tribes
Siberakh,Majority Vote,Coordinator Approval,Changing Breeds,Near-Extinct and Extinct Garou Tribes
Near-Extinct and Extinct Fera,Majority Vote,Coordinator Approval,Changing Breeds,Near-Extinct and Extinct Fera
Apis,Majority Vote,Coordinator Approval,Changing Breeds,Near-Extinct and Extinct Fera
Bubasti,Majority Vote,Coordinator Approval,Changing Breeds,Near-Extinct and Extinct Fera
Camazotz,Majority Vote,Coordinator Approval,Changing Breeds,Near-Extinct and Extinct Fera
Ceilican,Majority Vote,Coordinator Approval,Changing Breeds,Near-Extinct and Extinct Fera
Grondr,Majority Vote,Coordinator Approval,Changing Breeds,Near-Extinct and Extinct Fera
Khara,Majority Vote,Coordinator Approval,Changing Breeds,Near-Extinct and Extinct Fera
Okuma,Majority Vote,Coordinator Approval,Changing Breeds,Near-Extinct and Extinct Fera
Canon Mockery Breeds,Approval,Unregulated,Changing Breeds,Canon Mockery Breeds
Canon Mockery Breeds are as follows: Anurana Kerasi Samsa War Wolves Yeren,Approval,Unregulated,Changing Breeds,Canon Mockery Breeds
Custom Mockery Breeds,Majority Vote,Unregulated,Changing Breeds,Custom Mockery Breeds
Kinfolk possessing gifts above Basic,Disallowed,Disallowed,Changing Breeds,Kinfolk possessing gifts above Basic
Kinfolk using gifts above Basic,Disallowed NPC: Disallowed,,Changing Breeds,Kinfolk using gifts above Basic
Demi-Supernatural Kinfolk,Coordinator Notify,Coordinator Notify,Changing Breeds,Demi-Supernatural Kinfolk
Kinfolk of Bylaw Restricted Tribes,Coordinator Approval,Coordinator Approval,Changing Breeds,Kinfolk of Bylaw Restricted Tribes
Kinfolk of Bylaw Restricted Breeds,Coordinator Approval,Coordinator Approval,Changing Breeds,Kinfolk of Bylaw Restricted Breeds
Full Supernatural Kinfolk,Coordinator Approval,Coordinator Approval,Changing Breeds and Appropriate Creature Type Coordinator,Full Supernatural Kinfolk
Extended Play Spirit Possessed,Majority Vote,Unregulated,Changing Breeds,Extended Play Spirit Possessed
Incarna Spirits,Disallowed,Coordinator Approval,Varies,Incarna Spirits
Custom Fetishes / Weapons with 2 spirits inside them,Coordinator Notify,Coordinator Notify,Changing Breeds,Custom Fetishes / Weapons with 2 spirits inside them
Custom Fetishes / Weapons with 3 or more spirits inside them,Coordinator Approval,Coordinator Approval,Changing Breeds,Custom Fetishes / Weapons with 3 or more spirits inside them
Grand/Great/Bane Klaives,Coordinator Approval,Coordinator Approval,Changing Breeds,Grand/Great/Bane Klaives
A Grand Klaive is considered to be a klaive that consists of a war spirit and a secondary spirit,Coordinator Approval,Coordinator Approval,Changing Breeds,Grand/Great/Bane Klaives
A Great Klaive is considered to be a klaive that consists of a war spirit and two secondary spirits,Coordinator Approval,Coordinator Approval,Changing Breeds,Grand/Great/Bane Klaives
A Bane Klaive is considered to be a klaive of any level that is possessed by banes instead of regular spirits,Coordinator Approval,Coordinator Approval,Changing Breeds,Grand/Great/Bane Klaives
Learning of Rite of the Beating Heart by a Stargazer,Coordinator Notify,Coordinator Notify,Changing Breeds,Learning of Rite of the Beating Heart by a Stargazer
Learning of Rite of the Beating Heart by a Non-Stargazer,Coordinator Approval,Coordinator Approval,Changing Breeds,Learning of Rite of the Beating Heart by a Non-Stargazer
Use the Rite of the Beating Heart,Coordinator Approval,Coordinator Notify,Changing Breeds,Use the Rite of the Beating Heart
Learning of Rite of Conquest by a Shadow Lord,Coordinator Approval,Coordinator Approval,Changing Breeds,Learning of Rite of Conquest by a Shadow Lord
Learning of Rite of Conquest by a Non- Shadow Lord,Coordinator Approval,Coordinator Approval,Changing Breeds,Learning of Rite of Conquest by a Non- Shadow Lord
Use of the Rite of Conquest,Coordinator Approval NPC: Coordinator Approval,,,Use of the Rite of Conquest
Learning the Rite of Gaia's Rebirth,Disallowed,Coordinator Approval,Changing Breeds,Learning the Rite of Gaia's Rebirth
Using the Rite of Gaia's Rebirth,Disallowed,Coordinator Approval,Changing Breeds,Using the Rite of Gaia's Rebirth
Use of the Rite of Fighting the Death Bear by Gurahl or Non-Gurahl on a PC,Majority Vote,Majority Vote,Changing Breeds,Use of the Rite of Fighting the Death Bear by Gurahl or Non-Gurahl on a PC
Use of the Rite of Fighting the Death Bear by Gurahl or Non-Gurahl on an NPC,Coordinator Approval,Coordinator Approval,Changing Breeds,Use of the Rite of Fighting the Death Bear by Gurahl or Non-Gurahl on an NPC
Non Near-Extinct and Extraordinary Changing Breed PCs purchasing an exclusive Near-Extinct and Extraordinary Changing Breeds Rites,Coordinator Approval,Coordinator Notify,,Non Near-Extinct and Extraordinary Changing Breed PCs purchasing an exclusive Near-Extinct and Extraordinary Changing Breeds Rites
Use of the Rite Sing Back the Dead by Nuwisha on a PC or NPC in the same game session the PC or NPC died,Coordinator Approval,Coordinator Approval,Changing Breeds,Use of the Rite Sing Back the Dead by Nuwisha on a PC or NPC in the same game session the PC or NPC died
Use of the Rite Sing Back the Dead by Nuwisha on a PC or NPC at any time after the game session in which the PC or NPC died,Majority Vote,Majority Vote,Changing Breeds,Use of the Rite Sing Back the Dead by Nuwisha on a PC or NPC at any time after the game session in which the PC or NPC died
Lost Tribal and Breed Gifts and Rites,Majority Vote,Coordinator Approval,Changing Breeds,Lost Tribal and Breed Gifts and Rites
Using the Mokole gift Steal Shape to create new varna or alter character's changing breed,Majority Vote,Coordinator Approval,Changing Breeds,Using the Mokole gift Steal Shape to create new varna or alter character's changing breed
Non Glasswalker / Boli Zousizhe learning Chaos Mechanics,Coordinator Approval,Coordinator Notify,Changing Breeds,Non Glasswalker / Boli Zousizhe learning Chaos Mechanics
Non-Fianna learning Faerie Blood,Coordinator Approval,Coordinator Notify,Changing Breeds,Non-Fianna learning Faerie Blood
Non-Red Talons learning Blessing of the First Pack,Disallowed,Disallowed,Changing Breeds,Non-Red Talons learning Blessing of the First Pack
Non Near-Extinct and Extraordinary Changing Breed PCs purchasing an exclusive Near-Extinct and Extraordinary Changing Breeds gifts,Coordinator Approval,Coordinator Notify,,Non Near-Extinct and Extraordinary Changing Breed PCs purchasing an exclusive Near-Extinct and Extraordinary Changing Breeds gifts
"Learning, Swiping, Mimicking, or otherwise Obtaining Aetherial Realm Gifts",Coordinator Approval,Unregulated,Changing Breeds,"Learning, Swiping, Mimicking, or otherwise Obtaining Aetherial Realm Gifts"
"The use of ""Swipe"" by one who is not a Bastet",Disallowed,Disallowed,Changing Breeds,"The use of ""Swipe"" by one who is not a Bastet"
Swiping a Garou Nation Tribal Specific Gift from a Garou Nation PC,Disallowed,Disallowed,Changing Breeds,Swiping a Garou Nation Tribal Specific Gift from a Garou Nation PC
Swiping a Garou Nation Tribal Camp Gift,Disallowed,Disallowed,Changing Breeds,Swiping a Garou Nation Tribal Camp Gift
Swiping of Near-Extinct and Extinct / Extraordinary Changing Breeds gifts,Disallowed,Disallowed,Changing Breeds,Swiping of Near-Extinct and Extinct / Extraordinary Changing Breeds gifts
Intertribal Fosterage as a merit taken by Purelander Garou or Kinfolk [Uktena to Wendigo and vice Versa],Coordinator Notify,Coordinator Notify,Changing Breeds,Intertribal Fosterage as a merit taken by Purelander Garou or Kinfolk [Uktena to Wendigo and vice Versa]
Intertribal Fosterage as a merit taken by Non-Purelanders or by a Purelander from a Purelander Tribe to a Non-Purelander Tribe,Coordinator Approval,Coordinator Approval,Changing Breeds,Intertribal Fosterage as a merit taken by Non-Purelanders or by a Purelander from a Purelander Tribe to a Non-Purelander Tribe
Intertribal Fosterage as a merit taken by Fera,Disallowed,Disallowed,Changing Breeds,Intertribal Fosterage as a merit taken by Fera
"Beast Courts Aligned Legend aka ""Jade"" Rank",Disallowed,Coordinator Approval,Hengeyokai,"Beast Courts Aligned Legend aka ""Jade"" Rank"
Khan,Coordinator Approval,Coordinator Approval,Hengeyokai,Khan
Kitsune (Hengeyokai Affiliated),Coordinator Approval,Coordinator Notify,Hengeyokai,Kitsune (Hengeyokai Affiliated)
Kitsune (Non-Hengeyokai Affiliated),Majority Vote,Coordinator Approval,Hengeyokai,Kitsune (Non-Hengeyokai Affiliated)
Kumo,Majority Vote,Coordinator Approval: Coordinator: Hengeyokai,,Kumo
Nagah,Majority Vote,Coordinator Approval: Coordinator: Hengeyokai,,Nagah
Nezumi,Coordinator Notify,Coordinator Notify,Hengeyokai,Nezumi
Same-bito,Coordinator Approval,Coordinator Approval: Coordinator: Hengeyokai,,Same-bito
Tengu,Coordinator Notify,Coordinator Notify,Hengeyokai,Tengu
Zhong Lungs,Coordinator Approval,Coordinator Approval: Coordinator: Hengeyokai,,Zhong Lungs
Homid & Metis Breed Hakken (Hengeyokai Affiliated),Coordinator Notify,Coordinator Notify,Hengeyokai,Homid & Metis Breed Hakken (Hengeyokai Affiliated)
Lupus Breed Hakken (Hengeyokai Affiliated),Coordinator Approval,Coordinator Approval,Hengeyokai,Lupus Breed Hakken (Hengeyokai Affiliated)
Hakken (Non-Hengeyokai Affiliated),Coordinator Approval,Coordinator Approval,Hengeyokai,Hakken (Non-Hengeyokai Affiliated)
Stargazers (Hengeyokai Affiliated),Coordinator Approval,Coordinator Approval,Hengeyokai,Stargazers (Hengeyokai Affiliated)
Former Hengeyokai Membership,Coordinator Approval,Coordinator Approval,Changing Breeds / Hengeyokai,Former Hengeyokai Membership
Out of Genre Hengeyokai Membership,Coordinator Approval,Coordinator Approval,Hengeyokai,Out of Genre Hengeyokai Membership
Nezumi members of Nezumi Schools,Coordinator Approval,Coordinator Notify,Hengeyokai,Nezumi members of Nezumi Schools
Non-Nezumi members of Nezumi Schools,Disallowed,Disallowed,Hengeyokai,Non-Nezumi members of Nezumi Schools
Kitsune membership in Inari's Messengers,Coordinator Approval,Coordinator Notify,Hengeyokai,Kitsune membership in Inari's Messengers
Non-Kitsune membership in Inari's Messengers,Disallowed,Disallowed,Hengeyokai,Non-Kitsune membership in Inari's Messengers
Elder/Silver Rank,Coordinator Approval,Coordinator Notify,Hengeyokai,Elder/Silver Rank
Use of Rite of the Second Face,Coordinator Notify,Coordinator Notify,Hengeyokai,Use of Rite of the Second Face
Use of Rite of the Great Burden,Coordinator Approval,Coordinator Approval,Hengeyokai and Changing Breeds,Use of Rite of the Great Burden
"Ambassador from the Hengeyokai to Other Groupings (Garou Nation, Ahadi, etc.)",Coordinator Approval,Coordinator Approval,Hengeyokai,"Ambassador from the Hengeyokai to Other Groupings (Garou Nation, Ahadi, etc.)"
Beast Courts Aligned Special Kinfolk,Coordinator Notify,Coordinator Notify,Hengeyokai,Beast Courts Aligned Special Kinfolk
Beast Courts Aligned Supernatural Kinfolk,Coordinator Approval,Coordinator Approval,Hengeyokai and Appropriate Creature Type Coordinator,Beast Courts Aligned Supernatural Kinfolk
Chronos Art,Coordinator Approval,Coordinator Approval,Changeling,Chronos Art
Naming Art,Coordinator Approval,Coordinator Approval,Changeling,Naming Art
Spring Art: Level 5 only,Coordinator Approval,Coordinator Approval,Changeling,Spring Art: Level 5 only
Kinain with non-Changeling supernatural powers or traits other than Numina and Hedge Magic,Coordinator Approval,Coordinator Approval,Changeling,Kinain with non-Changeling supernatural powers or traits other than Numina and Hedge Magic
Genre-specific Changeling Backgrounds on non-Changeling/Kinain PCs,Coordinator Approval,Coordinator Approval,Changeling,Genre-specific Changeling Backgrounds on non-Changeling/Kinain PCs
Genre-specific Changeling genre Merits/Flaws on non-Changeling/Kinain PCs,Coordinator Approval,Coordinator Approval,Changeling,Genre-specific Changeling genre Merits/Flaws on non-Changeling/Kinain PCs
Individuals which are not Changelings possessing long term benefits from Arts exceeding 1 month,Coordinator Approval,Unregulated,Changeling,Individuals which are not Changelings possessing long term benefits from Arts exceeding 1 month
Full supernaturals (such as mages or vampires) undergoing the Ritual of the Parted Mists or other similar process,Coordinator Approval,Unregulated,Changeling,Full supernaturals (such as mages or vampires) undergoing the Ritual of the Parted Mists or other similar process
Full supernaturals which are not Changelings having Arts,Coordinator Approval,Unregulated,Changeling,Full supernaturals which are not Changelings having Arts
Use of the Spring 5: Renewal targeting a PC or former PC,Coordinator Approval,Coordinator Approval,Changeling and Parent Genre Coordinator (in the case of non,Use of the Spring 5: Renewal targeting a PC or former PC
Characters with Title 5,Coordinator Approval,Coordinator Approval,Changeling,Characters with Title 5
Characters with Title 6 or Higher,Disallowed,Coordinator Approval,Changeling,Characters with Title 6 or Higher
Heralds of the Fomorians,Coordinator Approval,Unregulated,Changeling,Heralds of the Fomorians
Tuatha de Dannan,Disallowed,Coordinator Approval,Changeling,Tuatha de Dannan
Bygone Beasts,Coordinator Approval,Unregulated,Changeling and Mage,Bygone Beasts
Siochain,Coordinator Approval,Coordinator Notify,Changeling,Siochain
"Siochain that are Adhene, Inanimae, and Hsien",Disallowed,Disallowed,Changeling,"Siochain that are Adhene, Inanimae, and Hsien"
Lore Demonology level 4,Coordinator Notify,Unregulated,Demon,Demonology level 4
Lore Demonology level 5,Coordinator Approval,Coordinator Approval,Demon,Demonology level 5
Infernal Lore level 4,Coordinator Notify,Unregulated,Demon,Infernal Lore level 4
Infernal Lore level 5,Coordinator Approval,Coordinator Approval,Demon,Infernal Lore level 5
Lore Plague Breeding level 4,Coordinator Notify,Unregulated,Demon,Plague Breeding level 4
Lore Plague Breeding level 5,Coordinator Approval,Coordinator Approval,Demon,Plague Breeding level 5
Angel Lore,Disallowed,Disallowed,Demon,Angel Lore
Demon: the Fallen Overlord,Disallowed,Coordinator Notify,Demon,Demon: the Fallen Overlord
"Demon: the Fallen Barons, Dukes and Archdukes",Disallowed,Coordinator Approval,Demon,"Demon: the Fallen Barons, Dukes and Archdukes"
Rank 5+ Demon,Disallowed,Coordinator Approval,Demon,Rank 5+ Demon
Earthbound Demon,Disallowed,Coordinator Approval,Demon,Earthbound Demon
Angels,Disallowed,Coordinator Approval,Demon,Angels
